"","var","ID1","ID2","mean","median","pc2.5","pc97.5","overlap0","gel"
"1","beta0",1,NA,1.05243690456347,1.04987086342663,0.952424112800455,1.17512286463037,FALSE,1.06325537788623
"2","beta1",1,NA,0.493147534960008,0.477359546455738,0.222089115694041,1.00942008744455,FALSE,1.0585346286559
"3","beta1",2,NA,-0.545463618095637,-0.500384860462295,-1.26860506800382,-0.262117074916832,FALSE,1.292910029571
"4","beta1",3,NA,-0.0274875932456578,-0.032665910920869,-0.0588504163057723,0.0701626264967207,TRUE,1.15513655041912
"5","beta1",4,NA,-0.200536896456063,-0.233229368544095,-0.379111781422647,0.263086013291105,TRUE,1.11653869119808
"6","beta1",5,NA,-0.0292707323233918,-0.0260548906257944,-0.175690702003712,0.112524462010485,TRUE,1.05466673633434
"7","beta1",6,NA,-0.00655217613822372,0.0134943915400181,-0.323291039185609,0.142364465232835,TRUE,1.08236316854493
"8","beta1a",1,NA,0.224890737785582,0.189495424952029,0.00853939975307318,0.796920116231061,FALSE,1.12020479380439
"9","beta1a",2,NA,-0.0326068914545445,-0.0730276098710241,-0.308305047541844,0.545560023387069,TRUE,1.29275841518742
"10","beta2",1,1,-0.389383212215115,-0.324473207503681,-1.39256121804049,0.0198858457771432,TRUE,1.26964731146875
"11","beta2",2,1,0.0689205362785596,0.0608911820169586,0.0236861773587684,0.178339573359746,FALSE,1.26252701939011
"12","beta2",3,1,-0.136538075015994,-0.131390247643533,-0.395825046376715,0.161536122532306,TRUE,1.14325004471099
"13","beta2",4,1,0.320390831597202,0.315068863669789,0.0873755878134573,0.531401751125874,FALSE,1.12226256607
"14","beta2",5,1,-0.023783356892037,-0.0153070682345313,-0.1229540147533,0.0190744598086471,TRUE,1.30889334060157
"15","beta2",6,1,0.1795677092195,0.168535779346925,-0.0599095180977392,0.41020005527927,TRUE,1.14377598243944
"16","beta2",7,1,-0.177724597687446,-0.182315914634162,-0.388301542799659,0.0432832738566446,TRUE,1.09458309269666
"17","beta2",8,1,-0.00350379213586088,-0.0031344124174388,-0.0267700068724456,0.0245728807488386,TRUE,1.12379551611436
"18","beta2",9,1,-0.00659451318663096,-0.00605559753245752,-0.0272381803384163,0.0133415524338422,TRUE,1.09389467135824
"19","beta2",10,1,0.0796464334818574,0.0722988087939095,-0.00238373487953391,0.166322034419977,TRUE,1.21442550336768
"20","beta2",11,1,0.0143822080637094,0.0351676083272557,-0.313804704439617,0.242371619112489,TRUE,1.20228418271139
"21","beta2",12,1,0.025852539467681,0.0234791973007135,-0.18906379151965,0.276876725187656,TRUE,1.09413473263113
"22","beta2",13,1,-0.0110412298765862,-0.0104484116115965,-0.0347294756164983,0.0149503332841888,TRUE,1.09405051261072
"23","beta2",14,1,0.0536119369958333,0.0628462810722864,-0.0757648554940533,0.190462554337291,TRUE,1.19839087719147
"24","beta2",15,1,-0.0185572277847593,-0.0206316910669168,-0.108180279472971,0.0746801437493019,TRUE,1.04279086937441
"25","dYdX",183,1,0.181490860269487,0.164608394977072,-0.158335919483405,0.78429391061829,TRUE,1.06955834381053
