"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
469,2010,2010,0,0,0,0,64.55,0.705675,0.315081625,0.112408854166667,-0.554927916666666,-0.381510416666667,14204.22045825,NA,3.15149291582414,1150.29491427581,1,"Winter",4.70479050975618,2.16375049932383,12.685497931711,0,0,0
470,2010,2010,0,0,0,0,64.55,0.6758,0.310390985416667,0.113127604166667,-0.353912916666667,-0.304166666666667,9521.087715356,NA,3.15149291582414,1150.29491427581,1,"Winter",4.68103821019185,2.15259785806715,12.6039948759935,0,0,0
471,2010,2010,0,0,0.5,0.5,65.05,0.645925,0.205975083333333,0.113471354166667,-1.15381958333333,-0.138802083333333,7570.25523849,NA,3.15149291582414,1150.29491427581,1,"Winter",4.65755525560859,2.11492425242651,12.5405218518857,0,0,0
472,2010,2010,0,0,0,0,65.05,0.61605,0.292855622916667,0.1138046875,-1.05752729166667,-0.134635416666667,14454.09717314,NA,3.15149291582414,1150.29491427581,1,"Winter",4.63425344479161,2.08537423758474,12.5317703255052,0,0,0
473,2010,2010,0,0,0,0,65.05,0.586175,0.308908208333333,0.113440104166667,-1.190925,-0.18671875,13660.08925162,NA,3.15149291582414,1150.29491427581,1,"Winter",4.61099321307238,2.05588186564646,12.5127556282882,0,0,0
474,2010,2010,0,0,0.02,0.02,65.07,0.5563,0.31051636875,0.113174479166667,-0.887780625,-0.117447916666667,14532.48414451,NA,3.15149291582414,1150.29491427581,1,"Winter",4.58679802054284,2.03771224153378,12.479783985265,0,0,0
475,2010,2010,0,0,0,0,65.07,0.5420125,0.1581842,0.113091145833333,-2.520260625,-0.1875,7330.70842448,NA,3.15149291582414,1150.29491427581,1,"Winter",4.56144712475043,2.01313045026667,12.4217400129469,0,0,0
476,2010,2010,0,0,1.02,1.02,66.09,0.527725,0.0603043395833333,0.113018229166667,-2.99180208333333,-0.0924479166666668,707.4410484943,NA,3.15149291582414,1150.29491427581,1,"Winter",4.53397711061202,1.99237715231851,12.3383402227577,0,0,0
477,2010,2010,0,0,0,0,66.09,0.5134375,0.0798080479166667,0.114002604166667,-4.54751458333333,-0.0255208333333333,423.47963151,NA,3.15149291582414,1150.29491427581,1,"Winter",4.50717372521296,1.97506443634436,12.240711752106,0,0,0
478,2010,2010,0,0,0.25,0.25,66.34,0.49915,0.0384073020833333,0.114971354166667,-3.24812708333333,-0.0330729166666667,249.56901978,NA,3.15149291582414,1150.29491427581,1,"Winter",4.48138771080541,1.96626473583916,12.0924554052135,0,0,0
