"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
1956,2014,2014,0,0,0.1099,0.1099,59.9957,0.261275,0.177654916666667,0.117317022569444,-1.61423541666667,-0.101549467592593,9710.865030598,NA,1.7211419581964,628.216814741687,2,"Winter",5.78997392903641,1.50375619268028,22.3681749229567,0,0,0
1957,2014,2014,0.73685359053,0.73685359053,0,0,59.9957,0.26045,0.352548041666667,0.122626033358135,2.60278395833333,0.332164953703704,16530.75036758,NA,1.7211419581964,628.216814741687,2,"Winter",5.69130851135835,1.45449545336283,22.2403136078798,4.19366111140835,1.07175019721996,16.3878549364795
1958,2014,2014,1.22447392343388,1.22447392343388,0,0,59.9957,0.259625,0.574440208333333,0.13880373077877,7.062541875,2.14330226851852,18617.34790632,NA,1.7211419581964,628.216814741687,2,"Winter",5.63006106080219,1.5142025485676,22.0368843444421,6.89386295629277,1.85410153551815,26.9835902334976
1959,2014,2014,1.3568108466222,1.3568108466222,0,0,59.9957,0.2588,0.55531875,0.150531353670635,6.54275270833333,3.67429199074074,17524.57951062,NA,1.7211419581964,628.216814741687,2,"Winter",5.60852782486581,1.60916302799257,21.8325262412994,7.60971138636034,2.18332985036374,29.6226084133589
1960,2014,2014,0,0,0,0,59.9957,0.2640375,0.2100820625,0.150122785218254,-1.13390708333333,2.50583548611111,15208.58834018,NA,1.7211419581964,628.216814741687,2,"Winter",5.60559979523718,1.66556653721077,21.6337165614524,0,0,0
1961,2014,2014,1.6290715391586,1.6290715391586,0,0,59.9957,0.269275,0.617467083333333,0.149589004960317,4.49206729166667,2.4682443287037,18519.48865523,NA,1.7211419581964,628.216814741687,2,"Winter",5.60388643878812,1.79404700849356,21.4346950148826,9.12913190610656,2.92263092144948,34.9186515992899
1962,2014,2014,1.530116266032,1.530116266032,0.6594,0.6594,60.6551,0.2745125,0.833113333333333,0.148023372271825,9.02494770833333,4.29904020833333,19247.63886976,NA,1.7211419581964,628.216814741687,2,"Winter",5.59233673430458,1.82228216024022,21.2653646169091,8.55692540228772,2.78830357468349,32.5384803034339
1963,2014,2014,1.5035224202658,1.5035224202658,0,0,60.6551,0.27975,1.0154225,0.147444325644841,11.5624670833333,6.14984560185185,19094.13438733,NA,1.7211419581964,628.216814741687,2,"Winter",5.58101134163577,1.84134948745276,21.1292986089602,8.39117567990709,2.76851023793017,31.7683741830626
1964,2014,2014,1.4990146054866,1.4990146054866,0,0,60.6551,0.2849875,1.13072354166667,0.144780913690476,11.8491695833333,6.9102974537037,19078.85100058,NA,1.7211419581964,628.216814741687,2,"Winter",5.58494054109101,1.86674437366467,21.0130842570851,8.37190744186967,2.79827708083328,31.4989202076912
1965,2014,2014,1.4459374992312,1.4459374992312,0,0,60.6551,0.290225,1.1531225,0.142601288690476,11.395473125,6.63857939814815,15001.05444898,NA,1.7211419581964,628.216814741687,2,"Winter",5.62025925297856,1.95037005386472,20.9269612177689,8.12654360928283,2.82011319826057,30.2590779697291
1966,2014,2014,1.84889178531,1.84889178531,0,0,60.6551,0.2954625,1.010296875,0.136786010664683,9.63084208333333,7.08319189814815,20084.6145119,NA,1.7211419581964,628.216814741687,2,"Winter",5.67724409400562,2.09626419413267,20.8181174393863,10.4966099686067,3.87576564837137,38.4904463193002
1967,2014,2014,1.82650922147016,1.82650922147016,0,0,60.6551,0.3007,0.987827708333333,0.133099251984127,9.858879375,7.19779675925926,19758.15877931,NA,1.7211419581964,628.216814741687,2,"Winter",5.73059499186356,2.21588829501858,20.6490871662518,10.4669845971495,4.04734040459923,37.7157481241001
1968,2014,2014,1.74334716468,1.74334716468,0,0,60.6551,0.30195,1.00127625,0.12832396577381,10.0408758333333,7.32822777777778,16835.0952807,NA,1.7211419581964,628.216814741687,2,"Winter",5.77752432490282,2.30752776533517,20.532509609648,10.0722306506891,4.02282198711745,35.7952924117447
1969,2014,2014,1.285453421154,1.285453421154,0,0,60.6551,0.3032,0.50448875,0.125967785962302,0.964575416666667,5.24912226851852,20524.3529375,NA,1.7211419581964,628.216814741687,2,"Winter",5.81781328250462,2.38753851027334,20.3532594598943,7.47852798763075,3.06906954616779,26.1631670043561
1970,2014,2014,1.7537574010572,1.7537574010572,0,0,60.6551,0.30445,0.665141041666667,0.116548535218254,3.17622333333333,4.11423523148148,20778.6185811,NA,1.7211419581964,628.216814741687,2,"Winter",5.83489274735757,2.46471863587391,20.1797699928383,10.2329863400533,4.32251854918747,35.3904209765722
1971,2014,2014,1.5723178129548,1.5723178129548,0,0,60.6551,0.3057,0.76982625,0.116974814484127,6.37355333333333,4.90291761574074,21026.3595836,NA,1.7211419581964,628.216814741687,2,"Winter",5.82141722787446,2.45726282194408,19.9454603686249,9.15311800402896,3.86359810605425,31.3606026251729
1972,2014,2014,1.8704129125428,1.8704129125428,0,0,60.6551,0.30695,0.805129791666667,0.114883380952381,7.37913895833333,6.08041240740741,19722.3450699,NA,1.7211419581964,628.216814741687,2,"Winter",5.79488038132051,2.46807133771803,19.7514335544178,10.8388190918628,4.61631249914459,36.9433363614142
1973,2014,2014,1.9425442836114,1.9425442836114,0,0,60.6551,0.3082,0.93679875,0.112216718005952,9.19009604166667,6.7748125,21492.353064982,NA,1.7211419581964,628.216814741687,2,"Winter",5.74804885704153,2.464043696459,19.5098010884488,11.1658394491651,4.78651399712513,37.8986525787617
1974,2014,2014,2.0920028258034,2.0920028258034,0,0,60.6551,0.30945,0.949609791666667,0.112779605406746,10.0973583333333,7.27265833333333,16355.9788898,NA,1.7211419581964,628.216814741687,2,"Winter",5.68494934395207,2.424932333683,19.2681664257612,11.8929300920969,5.07296529444686,40.3090586107427
1975,2014,2014,1.58083854583338,1.58083854583338,0,0,60.6551,0.3107,0.5113283125,0.115345507936508,3.119373125,6.69505300925926,21259.550945123,NA,1.7211419581964,628.216814741687,2,"Winter",5.59139021640105,2.30901239145793,19.0451292131626,8.83908517888243,3.65017579122361,30.1072743705447
1976,2014,2014,1.595052416322,1.595052416322,0,0,60.6551,0.31165,0.696789791666667,0.110542365079365,8.16307416666667,7.33525902777777,16823.32896657,NA,1.7211419581964,628.216814741687,2,"Winter",5.48990735877041,2.2201660123835,18.8066584924326,8.75668999799067,3.54128116268829,29.9976060712973
1977,2014,2014,2.044802305485,2.044802305485,0,0,60.6551,0.3126,0.670381041666667,0.104640513888889,7.44579854166667,7.957325,22378.85195714,NA,1.7211419581964,628.216814741687,2,"Winter",5.35251757831045,2.07953122745826,18.6452754948524,10.9448402842782,4.2522302482347,38.1259023182772
1978,2014,2014,1.050778275282,1.050778275282,5.0554,5.0554,65.7105,0.31355,0.5235260625,0.108199256944444,7.52582625,7.48701944444444,9008.00931113,NA,1.7211419581964,628.216814741687,3,"Winter",5.14890063700087,1.72123791990558,18.4797584663188,5.41035293094616,1.80863941282837,19.4181287288664
1979,2014,2014,1.210600268604,1.210600268604,3.8465,3.8465,69.557,0.3145,0.1667295,0.103208201388889,2.7003475,5.80557592592592,13090.8817665053,NA,1.7211419581964,628.216814741687,3,"Winter",4.93001491905267,1.32644659947516,18.3359295016529,5.96827738522688,1.60579660961349,22.197481179805
1980,2014,2014,2.05877753013528,2.05877753013528,0,0,69.557,0.31545,0.534326458333333,0.102277548611111,5.50926333333333,5.52958710648148,21761.92555402,NA,1.7211419581964,628.216814741687,3,"Winter",4.9255855650698,1.53880797639928,18.2134635755724,10.1406848841244,3.16806328500378,37.4974695553258
1981,2014,2014,1.784535261858,1.784535261858,0.4396,0.4396,69.9966,0.3164,0.461988125,0.102281763888889,5.31962395833333,5.27374418981482,13919.0400071,NA,1.7211419581964,628.216814741687,3,"Winter",4.99834397808169,1.73318011655641,18.1173870073557,8.91972107978238,3.09292103314608,32.3311159673542
1982,2014,2014,1.9108398198024,1.9108398198024,0.1099,0.1099,70.1065,0.31735,0.488837916666667,0.110783315972222,5.85386833333333,6.6403824074074,21180.0062892,NA,1.7211419581964,628.216814741687,3,"Winter",5.05731600194301,1.84707281129172,18.0690494377287,9.66372079783657,3.52946027789058,34.5270591715902
1983,2014,2014,2.16510794834004,2.16510794834004,0,0,70.1065,0.3183,0.7315675,0.107248121527778,7.90818270833333,6.38229502314815,18883.4778462,NA,1.7211419581964,628.216814741687,3,"Winter",5.11457370716533,1.94638299605379,17.9914252031839,11.0736041857546,4.21412929526997,38.9533777093788
1984,2014,2014,1.622800024335,1.622800024335,0,0,70.1065,0.318175,0.715572708333334,0.111432805555556,7.764008125,7.15028055555556,17816.8359369,NA,1.7211419581964,628.216814741687,3,"Winter",5.15678400030556,1.97420789806359,17.8835771468395,8.3684292011862,3.20374462501994,29.0214694290879
1985,2014,2014,1.38633075936,1.38633075936,0,0,70.1065,0.31805,0.254719,0.10756825,0.743057708333333,5.81213564814815,16290.3216206,NA,1.7211419581964,628.216814741687,3,"Winter",5.19228473928889,1.99742468002543,17.8149825800258,7.1982240454317,2.76909127342405,24.6974583281523
1986,2014,2014,1.8846697221162,1.8846697221162,0,0,70.1065,0.317925,0.560306875,0.108312255208333,4.0993425,5.38842166666667,24449.054938,NA,1.7211419581964,628.216814741687,3,"Winter",5.25826744041348,2.12838074548436,17.7072413881784,9.91009743573673,4.01129474814948,33.3723017065027
1987,2014,2014,1.9450144971,1.9450144971,0,0,70.1065,0.3178,0.98955,0.108888569444444,8.8827075,7.19285578703704,24694.7512295,NA,1.7211419581964,628.216814741687,3,"Winter",5.30041102700689,2.18701966546789,17.6443160888233,10.3093762881171,4.25378495477784,34.3184505841761
