"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
328,2009,2009,1.03033173642642,1.03033173642642,0.99526,0.99526,224.07974,0.341125,0.649045752083333,0.059119902984268,17.9759868125,21.83977328125,14228.7960180367,NA,1.23332234227357,450.162654929851,8,"Summer",1.64941885691674,1.03846981216917,2.64091438370014,1.69944859494151,1.06996840479867,2.72101790271127
329,2009,2009,0.54477265471236,0.54477265471236,0.66349,0.66349,224.74323,0.341,0.4137642375,0.0601122960193199,15.8645159791667,19.2323873958333,8275.2184215354,NA,1.23332234227357,450.162654929851,8,"Summer",0.931901530380299,0.424622373489614,2.22117671756117,0.507674470635787,0.2313226576562,1.21003633701108
330,2009,2009,1.00160906894748,1.00160906894748,0.11058,0.11058,224.85381,0.340875,1.39327328958333,0.0619009379830811,18.8096556875,20.1655452083333,29393.3266343171,NA,1.23332234227357,450.162654929851,8,"Summer",1.20650291886721,0.781706092902943,2.02642268731495,1.20844426524901,0.782963911903089,2.02968334113557
331,2009,2009,0.9577945638738,0.9577945638738,3.98102,3.98102,228.83483,0.34075,0.957857729166667,0.0620568392641292,17.9853352083333,20.73267703125,21840.1679081811,NA,1.23332234227357,450.162654929851,8,"Summer",1.23793663306072,0.789750186415633,2.0054951908262,1.18568897756579,0.756418435367213,1.92085239164839
332,2009,2009,0.92684879073432,0.92684879073432,0,0,228.83483,0.340625,1.57700050208333,0.0646208027985026,19.0642966666667,19.7695395833333,29005.0920734986,NA,1.23332234227357,450.162654929851,8,"Summer",1.19662360789938,0.73472757412293,2.00756161823414,1.10908914394567,0.680981363594998,1.86070605818494
333,2009,2009,0.94664640264498,0.94664640264498,0.11058,0.11058,228.94541,0.3405,1.94814256041667,0.0675725145247361,21.3810166666667,21.04351703125,25915.2147968762,NA,1.23332234227357,450.162654929851,8,"Summer",1.369500166691,0.837328998870875,2.18493348578821,1.29643240621974,0.792654484611436,2.06835942433997
334,2009,2009,1.3888868899338,1.3888868899338,1.10584,1.10584,230.05125,0.3399375,1.5069622875,0.0675148149908383,20.600819375,22.6014872395833,27332.291529477,NA,1.23332234227357,450.162654929851,8,"Summer",1.76861617395243,1.25870527478542,2.43826261590464,2.45640781732741,1.74819925443999,3.38647098144565
335,2009,2009,1.2304739022174,1.2304739022174,0,0,230.05125,0.339375,1.56063208958333,0.0661597541622633,20.7206716666667,22.2627805729167,27304.02845835,NA,1.23332234227357,450.162654929851,8,"Summer",1.49319085621234,0.994039340892548,2.20891704923834,1.83733237959894,1.22313946674567,2.71801478125084
336,2009,2009,1.2100227821262,1.2100227821262,1.10584,1.10584,231.15709,0.3388125,1.59995155625,0.0652448010472953,21.4633520625,22.6333936458333,23873.403598851,NA,1.23332234227357,450.162654929851,9,"Summer",1.20359906782258,0.792811028635089,1.93907385063016,1.45638229261118,0.959319406569365,2.34632353548767
337,2009,2009,0.9636791058972,0.9636791058972,1.54816,1.54816,232.70525,0.33825,1.89129503541667,0.0646551907734578,22.6533633333333,21.7015258854167,19920.1659394015,NA,1.23332234227357,450.162654929851,9,"Summer",1.38578338235724,0.888097616805041,2.14578362686494,1.33545049087722,0.855841117312116,2.06784684698605
338,2009,2009,0.8161391696166,0.8161391696166,0.44233,0.44233,233.14758,0.3376875,0.87659540625,0.0645614632250161,17.9084160416667,19.9948191666667,14279.11594245,NA,1.23332234227357,450.162654929851,9,"Summer",1.30225517108162,0.706073777587708,2.29073051294743,1.06282145395548,0.576254466528487,1.86955489865232
339,2009,2009,1.25642831429286,1.25642831429286,0,0,233.14758,0.337125,1.08284724583333,0.0654848635722552,18.1925742708333,20.5269221614583,23818.4364413714,NA,1.23332234227357,450.162654929851,9,"Summer",1.79416085981941,1.18349637361316,2.65531714564255,2.25423450467314,1.48697835367049,3.3362156452126
340,2009,2009,1.20774140894268,1.20774140894268,0,0,233.14758,0.3365625,1.172461875,0.0645241025382385,18.0410175,20.4798666145833,19370.2332492973,NA,1.23332234227357,450.162654929851,9,"Summer",2.17594357200532,1.50020957380229,3.0040271978158,2.62797715543347,1.81186522437327,3.62808804039219
341,2009,2009,1.55805081613164,1.55805081613164,0,0,233.14758,0.336,0.928154841666667,0.0633861519350572,17.7393247916667,20.2530354166667,21216.9235432739,NA,1.23332234227357,450.162654929851,9,"Summer",2.23842758698502,1.59586053042739,3.02433465192209,3.48758392875359,2.48643180186467,4.71206707268241
342,2009,2009,1.469241503271,1.469241503271,0.22117,0.22117,233.36875,0.340025,1.02965571458333,0.0628193428870317,18.4438435416667,20.9255021875,22311.4618912978,NA,1.23332234227357,450.162654929851,9,"Summer",1.90851135036117,1.31180965323671,2.70288288530996,2.80406408541441,1.92736518692691,3.97118771357827
343,2009,2009,1.2931154890839,1.2931154890839,1.99051,1.99051,235.35926,0.34405,1.03749889375,0.062494396685471,19.2061777083333,20.6582446354167,21961.69833566,NA,1.23332234227357,450.162654929851,9,"Summer",1.48028293423282,0.947433317020745,2.31046399041022,1.91417679048302,1.22514069711366,2.98769677297005
344,2009,2009,1.400811485202,1.400811485202,2.7646,2.7646,238.12386,0.348075,0.860411254166667,0.06374902877885,18.0795904166667,20.29839171875,23873.8072488709,NA,1.23332234227357,450.162654929851,9,"Summer",1.59376058115965,1.14273512265607,2.21268083514962,2.23255812675066,1.60075648436035,3.09954872696394
345,2009,2009,0.9393471884664,0.9393471884664,10.83722,10.83722,248.96108,0.3521,0.423451575,0.0814618711298267,16.9070247708333,18.9111394270833,15129.688797578,NA,1.23332234227357,450.162654929851,9,"Summer",0.944913745991185,0.603527649963843,1.64732647012491,0.887602070640074,0.566922001155269,1.54741148819811
346,2009,2009,1.236124712583,1.236124712583,0.11058,0.11058,249.07166,0.356125,0.93549113125,0.13204513865419,18.0429585416667,18.7957867708333,21682.4517858131,NA,1.23332234227357,450.162654929851,9,"Summer",1.01417779047588,0.714855033203288,1.54565090482795,1.25365022976006,0.883649972456925,1.91061728048411
347,2009,2009,1.389998342232,1.389998342232,18.13578,18.13578,267.20744,0.36015,0.525491164583333,0.156924126024611,15.4796868541667,17.5670784375,16258.3723729557,NA,1.23332234227357,450.162654929851,9,"Summer",1.35243989069644,0.993207881483677,1.83959812389163,1.87988920603648,1.38055730875407,2.55703834258246
348,2009,2009,1.089061536132,1.089061536132,0.11058,0.11058,267.31802,0.364175,0.624821833333333,0.200929415128884,16.5939604875,16.8915861458333,20921.279298263,NA,1.23332234227357,450.162654929851,9,"Summer",0.774496074109874,0.5544316923077,1.23337504305348,0.843473884198302,0.603810230504888,1.3432213190147
349,2009,2009,1.5446037588714,1.5446037588714,0,0,267.31802,0.3682,1.01151068958333,0.187946939670991,18.40232375,17.9896508333333,22264.879467581,NA,1.23332234227357,450.162654929851,9,"Summer",1.0159960230653,0.767934543210554,1.40616620881126,1.56931127622505,1.18615458201021,2.17196961172782
350,2009,2009,1.69517352851568,1.69517352851568,0,0,267.31802,0.3700125,1.33438691875,0.180039032916812,19.3543870833333,19.24860328125,22222.0544117213,NA,1.23332234227357,450.162654929851,9,"Summer",1.31621532401306,0.96111385619111,1.8419680850195,2.23121337509363,1.6292547669048,3.12245553809578
351,2009,2009,1.7171578469916,1.7171578469916,3.87043,3.87043,271.18845,0.371825,0.348777595833333,0.173929674070121,15.3910027083333,18.9501653645833,15852.1716956034,NA,1.23332234227357,450.162654929851,9,"Summer",1.86821442117954,1.36320036913106,2.48840787238201,3.20801905319131,2.34083021087524,4.27298910457644
352,2009,2009,1.05382731135204,1.05382731135204,15.48175,15.48175,286.6702,0.3736375,0.1283931,0.221719349220108,13.6546213875,15.5585111979167,8015.00983514,NA,1.23332234227357,450.162654929851,9,"Summer",1.82019624910897,1.19414186965224,2.58383541292262,1.91817251933158,1.25841931586852,2.72291632617643
353,2009,2009,1.49908724152866,1.49908724152866,26.76133,26.76133,313.43153,0.37545,0.171022358333333,0.253503343872935,12.6500871375,14.4486130729167,12823.5474363849,NA,1.23332234227357,450.162654929851,9,"Summer",1.70794947424901,1.22246976720216,2.33913795146731,2.56036526602227,1.83258883116726,3.50657185922014
354,2009,2009,2.207145059388,2.207145059388,0,0,313.43153,0.3772625,0.38739573125,0.24145029105996,14.5892147916667,15.1927966145833,21445.7090798707,NA,1.23332234227357,450.162654929851,9,"Summer",1.12921017774852,0.902227848601522,1.48389919850125,2.49233066482829,1.99134773848311,3.27518078460186
355,2009,2009,1.5229858181742,1.5229858181742,0,0,313.43153,0.379075,0.967563972916667,0.224949195635915,17.3381485416667,15.7868266145833,23023.061157845,NA,1.23332234227357,450.162654929851,9,"Summer",0.618367865755197,0.511949213617727,0.773653746753302,0.941765489959812,0.779691391965232,1.17826368448261
356,2009,2009,1.8461357580654,1.8461357580654,0,0,313.43153,0.3808875,1.09223685208333,0.21341532946037,16.1071810416667,16.00533875,19662.5832946068,NA,1.23332234227357,450.162654929851,9,"Summer",1.03965422370255,0.814168909015068,1.3705330838268,1.919342838401,1.50306633603781,2.53019013366431
357,2009,2009,2.2559314785156,2.2559314785156,0,0,313.43153,0.3827,0.559101808333333,0.206319146682288,7.847286875,13.065468921875,22516.5467581187,NA,1.23332234227357,450.162654929851,9,"Summer",1.68978441645345,1.30330081950506,2.17986104831313,3.81203785698245,2.94015734469665,4.9176171576796
358,2009,2009,2.2394571044364,2.2394571044364,0,0,313.43153,0.37985,0.782284472916667,0.200946072215534,10.217399375,13.1039638854167,23619.5626888718,NA,1.23332234227357,450.162654929851,9,"Summer",1.75018612326274,1.32396405215977,2.31240297803883,3.91946674782674,2.9649607026276,5.17852727748895
359,2009,2009,2.2591537151274,2.2591537151274,0,0,313.43153,0.377,0.603087670833333,0.196615525416143,10.9010670833333,14.1212404635417,20861.5551951,NA,1.23332234227357,450.162654929851,9,"Summer",1.73331325221141,1.31178764363719,2.29572986770593,3.91582107321296,2.96352992858118,5.18640665955678
