"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
3919,2020,2020,2.2389035078376,2.2389035078376,0,0,236.652405,1.212075,1.65281977708333,0.103500669935393,17.4462470833333,15.7075650694444,30317.4141663863,NA,0.726337066748499,265.839366429951,6,"Summer",1.06926694656969,0.780755907407083,1.46056074109504,2.39398551748968,1.74803713985865,3.27005456664757
3920,2020,2020,2.2725069251598,2.2725069251598,0,0,236.652405,1.19235,0.831973487083333,0.101950973359027,13.4211129166667,15.1941948611111,24674.680146686,NA,0.726337066748499,265.839366429951,6,"Summer",1.02750498150715,0.76144017303614,1.39350970799899,2.33501218611119,1.73037806631951,3.16676046170512
3921,2020,2020,1.989638629092,1.989638629092,0,0,236.652405,1.172625,1.038737775,0.100844390600136,14.271246875,14.7569397222222,26962.4782487133,NA,0.726337066748499,265.839366429951,6,"Summer",0.92313528896703,0.645430481739334,1.2792607856725,1.83670563080681,1.28417341886204,2.54526667585659
3922,2020,2020,1.8934367023548,1.8934367023548,0,0,236.652405,1.1529,1.374332335,0.0995292482711418,16.280264375,15.0022724583333,25736.4486920491,NA,0.726337066748499,265.839366429951,6,"Summer",0.880558643741837,0.572292146816978,1.25758692967072,1.66728205463656,1.08359895525269,2.38116124904023
3923,2020,2020,2.478566082132,2.478566082132,0,0,236.652405,1.160825,1.58747497145833,0.0984483245746474,16.6197225,14.0678384027778,16992.6528404757,NA,0.726337066748499,265.839366429951,6,"Summer",1.10220367904607,0.834796704480932,1.48337293012855,2.73188465448469,2.06909879720201,3.67663783176938
3924,2020,2020,2.3732634519234,2.3732634519234,0,0,236.652405,1.16875,1.43500090416667,0.0968186920716195,15.2659291666667,15.1708203472222,30632.6844053883,1.0497612,0.726337066748499,265.839366429951,6,"Summer",1.14354897969466,0.849764449577108,1.56167620433398,2.71394299899363,2.01671491092516,3.70626905948429
3925,2020,2020,2.1023471434104,2.1023471434104,0,0,236.652405,1.176675,1.31714961729167,0.095365875711045,14.770695625,15.5424484652778,32575.4792301192,NA,0.726337066748499,265.839366429951,6,"Summer",1.1654217630802,0.851422151718264,1.62200338100931,2.45012111447997,1.78998492850123,3.41001417466693
3926,2020,2020,2.2882283248446,2.2882283248446,0,0,236.652405,1.1846,1.099400864375,0.094191950659929,13.0980529166667,15.2873531944444,30039.5912398592,NA,0.726337066748499,265.839366429951,6,"Summer",1.19026956166605,0.88217610503959,1.67065657686072,2.72360852520461,2.01862035105267,3.82284370026062
3927,2020,2020,2.1438508464288,2.1438508464288,0,0,236.652405,1.192525,0.962463477291666,0.0930481858255544,10.8437341666667,15.0707280902778,34686.5977111147,NA,0.726337066748499,265.839366429951,6,"Summer",1.16114520947107,0.859395081493331,1.65261641180399,2.48932214015129,1.84241487287623,3.54296309326812
3928,2020,2020,2.0801510676414,2.0801510676414,0,0,236.652405,1.20045,1.22761389916667,0.0919188829276809,13.5359579166667,15.3443812013889,34907.64597204,NA,0.726337066748499,265.839366429951,7,"Summer",1.04395046280029,0.76044533797976,1.48469391820671,2.17157466975875,1.58184118168152,3.08838763907838
3929,2020,2020,1.39080982845312,1.39080982845312,0,0,236.652405,1.208375,1.42030385166667,0.0908090899825803,15.946916875,15.4733230902778,25264.9367026364,NA,0.726337066748499,265.839366429951,7,"Summer",0.901613617556757,0.62248296000974,1.30624121187458,1.25397308076511,0.865755418826137,1.81673311580568
3930,2020,2020,1.4898311414208,1.4898311414208,0,0,236.652405,1.2163,0.985718120833333,0.0897354149597637,15.3131716666667,16.1821663888889,23181.9469532854,NA,0.726337066748499,265.839366429951,7,"Summer",0.72541492552011,0.500117380189773,1.05744621504053,1.08074574649131,0.74509044737251,1.57541630154494
3931,2020,2020,0.9766827237636,0.9766827237636,1.06079,1.06079,237.713195,1.1883625,0.703157584583333,0.0895403771506206,13.5924352083333,15.0877172222222,19847.1417226253,NA,0.726337066748499,265.839366429951,7,"Summer",0.518398117548721,0.29903702753677,0.862546686937294,0.506310485441408,0.292064298560783,0.842434447571186
3932,2020,2020,1.35676065193254,1.35676065193254,0.74335,0.74335,238.456545,1.160425,1.13252670333333,0.0893446607113817,15.855964375,14.2444445138889,21426.7871601311,1.3503422,0.726337066748499,265.839366429951,7,"Summer",0.616897097409313,0.42396192242893,0.913447419206646,0.836981708056351,0.575214854269247,1.2393295159889
3933,2020,2020,1.08249885881388,1.08249885881388,0,0,238.456545,1.1324875,1.144674184375,0.0889191380380758,15.67802125,14.5344126180556,19882.4780155125,NA,0.726337066748499,265.839366429951,7,"Summer",0.655463687522807,0.414931923982747,0.988949807353544,0.709538693737376,0.449163334196771,1.07053703788442
3934,2020,2020,1.6873799451804,1.6873799451804,0,0,238.456545,1.10455,1.476623241875,0.0878984630609898,16.9966310416667,16.0764790277778,34507.374936396,NA,0.726337066748499,265.839366429951,7,"Summer",0.781475663502986,0.547166465369535,1.12105907156992,1.31864636224149,0.9232777203398,1.89165259472964
3935,2020,2020,1.6231513677048,1.6231513677048,0,0,238.456545,1.0766125,1.59890563541667,0.0867409438075993,17.3826029166667,16.5203736805556,33738.6496389935,NA,0.726337066748499,265.839366429951,7,"Summer",0.909415410776087,0.646265699510748,1.30445316734894,1.47611886781303,1.04898705406157,2.11732494268929
3936,2020,2020,1.71657971408178,1.71657971408178,0,0,238.456545,1.048675,1.68786789166667,0.085581579140121,17.9836525,17.2030781944444,34615.2534071529,0.5744273,0.726337066748499,265.839366429951,7,"Summer",0.963335324140768,0.679956851526401,1.38931186919423,1.65364187527844,1.16720013778114,2.38486457119186
3937,2020,2020,1.6216186319838,1.6216186319838,0,0,238.456545,1.0207375,1.91972301875,0.084503389661014,19.5631795833333,17.2730039583333,33330.0364946554,NA,0.726337066748499,265.839366429951,7,"Summer",0.985429002006026,0.685806360776196,1.44060631228809,1.59799003015017,1.11211637256768,2.33611403735984
3938,2020,2020,1.5035180530662,1.5035180530662,0,0,238.456545,0.9928,2.19294723333333,0.0832849479568513,21.1493404166667,18.0364365277778,32891.414753679,NA,0.726337066748499,265.839366429951,7,"Summer",0.98244417084208,0.663164380209349,1.45038007222462,1.47712254699072,0.997079617795214,2.18067262239717
3939,2020,2020,1.5419728454094,1.5419728454094,0,0,238.456545,0.9948125,1.7607586625,0.082502414337978,19.7667345833333,17.8403094444444,21245.7793422552,NA,0.726337066748499,265.839366429951,7,"Summer",0.999648670704055,0.676648440409546,1.47092591778189,1.54143110517526,1.04337352100014,2.26812782282857
3940,2020,2020,1.4460137522658,1.4460137522658,0,0,238.456545,0.996825,1.3518311625,0.0817586048735055,17.577901875,17.4518368055556,22393.0288291805,NA,0.726337066748499,265.839366429951,7,"Summer",1.02633730752547,0.690679932352195,1.5141932706724,1.48409786114528,0.998732680595287,2.18954429298062
3941,2020,2020,1.7946019379934,1.7946019379934,0,0,238.456545,0.9988375,1.34676403083333,0.0810555203358769,17.3583410416667,17.4994634722222,26110.639940637,NA,0.726337066748499,265.839366429951,7,"Summer",1.0932276810957,0.782959122318994,1.59315372429647,1.96190851516237,1.40509995828328,2.85907676114384
3942,2020,2020,1.645778412567,1.645778412567,0,0,238.456545,1.00085,1.141786595,0.0806015396829202,16.2494910416667,17.0009814583333,18258.0194897841,NA,0.726337066748499,265.839366429951,7,"Summer",1.05078727901483,0.73921276549349,1.54782316732877,1.72936302000263,1.21658041174314,2.54737395526077
3943,2020,2020,1.566401316867,1.566401316867,0,0,238.456545,1.0028625,0.805693876875,0.0797993208419346,14.2861008333333,17.1626432986111,22950.3014485819,NA,0.726337066748499,265.839366429951,7,"Summer",0.971940706520808,0.683583179779049,1.4361263051374,1.52244920261084,1.07076559299403,2.24955013555456
3944,2020,2020,1.7037387614286,1.7037387614286,0,0,238.456545,1.004875,0.907229706041667,0.0794356453128769,14.9339508333333,16.4778254166667,23267.7300499602,NA,0.726337066748499,265.839366429951,7,"Summer",0.832539155990576,0.586277118265093,1.21707789319671,1.4184292304682,0.998863051326899,2.0735827823171
3945,2020,2020,1.3923815144058,1.3923815144058,0,0,238.456545,1.0068875,0.842771383333333,0.0789064706675404,14.619895,17.2169591666667,28440.725966082,NA,0.726337066748499,265.839366429951,7,"Summer",0.675581603034262,0.45753576384209,1.01169150488665,0.940667335537544,0.637064339753264,1.40866054968555
3946,2020,2020,0.84046539455406,0.84046539455406,0,0,238.456545,1.0089,0.896791961875,0.0789141215619944,14.9804291666667,15.7593202083333,17871.4940668536,NA,0.726337066748499,265.839366429951,7,"Summer",0.547670083964611,0.32641578146352,0.890356838354253,0.460297753204772,0.274341168556409,0.748314111441313
3947,2020,2020,0.70225188326676,0.70225188326676,0,0,238.456545,1.03015,0.979566642708333,0.0788605041367116,15.2902858333333,15.1279744791667,18207.7869244205,NA,0.726337066748499,265.839366429951,7,"Summer",0.484006352664237,0.274272112403231,0.811793165086912,0.339894372671536,0.192608107462721,0.570083279005368
3948,2020,2020,1.0241878022046,1.0241878022046,0,0,238.456545,1.0514,0.805132998958333,0.0786224793233573,14.1602539583333,15.2016317708333,21138.6547594291,NA,0.726337066748499,265.839366429951,7,"Summer",0.528622995697232,0.353019325733784,0.822835730591754,0.541409224157959,0.361558087359034,0.842738318490185
3949,2020,2020,0.7968457033362,0.7968457033362,0.99234,0.99234,239.448885,1.07265,0.509168709375,0.0788435344771054,12.2728791666667,14.9554122916667,17142.2428122551,NA,0.726337066748499,265.839366429951,7,"Summer",0.446861833749475,0.279677712228721,0.726610614727671,0.356079932208205,0.222859983308354,0.57899654634422
3950,2020,2020,0.6461449306758,0.6461449306758,0.4703,0.4703,239.919185,1.0939,0.401066017291667,0.0790473423405374,12.2349189583333,14.7197663541667,16111.6214163142,NA,0.726337066748499,265.839366429951,7,"Summer",0.363274315740181,0.222440220688254,0.614161741285882,0.234727857560238,0.143728620976121,0.396837495746895
3951,2020,2020,0.6086053477062,0.6086053477062,9.21213,9.21213,249.131315,1.11515,0.245188447083333,0.0797530170759186,12.822583125,15.2193323958333,18784.802845074,NA,0.726337066748499,265.839366429951,7,"Summer",0.270770079237046,0.170854531386058,0.469046651749423,0.164792118222498,0.103982981481392,0.285464300578386
3952,2020,2020,0.479718391131,0.479718391131,0.81422,0.81422,249.945535,1.1364,0.1379975725,0.0807696382976414,11.3701805625,14.5835428125,14913.672423371,NA,0.726337066748499,265.839366429951,7,"Summer",0.312779278353623,0.182867763835198,0.570279560688463,0.150045972190915,0.0877250294567447,0.273573593348363
3953,2020,2020,0.53779946711778,0.53779946711778,2.11673,2.11673,252.062265,1.15765,0.192439083125,0.0817266645877288,12.3561097916667,15.1882923958333,16053.72350297,NA,0.726337066748499,265.839366429951,7,"Summer",0.251826556959189,0.156222678041479,0.443680269291593,0.135432188138757,0.0840164730024201,0.238611012395692
3954,2020,2020,0.5471486447886,0.5471486447886,8.53016,8.53016,260.592425,1.1789,0.266845168958333,0.084612597647653,12.4655183333333,14.76199375,14532.9777831245,NA,0.726337066748499,265.839366429951,7,"Summer",0.314572820198039,0.194014774986305,0.549672226465118,0.172118092258685,0.106154921202722,0.300752413788322
3955,2020,2020,0.663711428952,0.663711428952,0.87538,0.87538,261.467805,1.17245,0.70800440625,0.109409996025249,14.19749875,15.4212028125,28975.72992061,NA,0.726337066748499,265.839366429951,7,"Summer",0.227056878284609,0.158349517125888,0.351763503395474,0.150700245139658,0.105098384285482,0.233469457491772
3956,2020,2020,0.6128421799122,0.6128421799122,0,0,261.467805,1.166,1.51283439020833,0.108566455338326,17.554985625,15.2656114583333,29818.1888808,NA,0.726337066748499,265.839366429951,7,"Summer",0.225207278957091,0.153591674842092,0.354614974864205,0.138016519768159,0.0941274568265937,0.217323014225289
3957,2020,2020,0.91792267795782,0.91792267795782,0,0,261.467805,1.15955,1.67004858708333,0.103385029420763,18.5008566666667,15.7121423958333,33311.1901070812,NA,0.726337066748499,265.839366429951,7,"Summer",0.34907156991441,0.244126146695459,0.518232078876641,0.320420710254776,0.224088926334219,0.475696977646094
3958,2020,2020,1.0400300133318,1.0400300133318,0,0,261.467805,1.1531,0.824990329791667,0.0966371077476951,14.4750216041667,15.8273435416667,11924.1864669794,NA,0.726337066748499,265.839366429951,7,"Summer",0.41848158580628,0.283915433075656,0.631241330269812,0.435233409265218,0.295280571646778,0.656509929136095
3959,2020,2020,1.3529437994754,1.3529437994754,0,0,261.467805,1.14665,0.933255234375,0.0911092420492917,14.7134333333333,15.5235151041667,23334.7476952193,NA,0.726337066748499,265.839366429951,8,"Summer",0.598861579201924,0.422953970759483,0.871377584655727,0.810226060325289,0.572232952202542,1.17892490016182
3960,2020,2020,1.521569526696,1.521569526696,5.75235,5.75235,267.220155,1.1402,0.915233685625,0.0922403705146415,14.4798464583333,14.4909478125,18139.6871529052,NA,0.726337066748499,265.839366429951,8,"Summer",0.697905746038499,0.50302613473579,1.02586009840708,1.06191211567822,0.765389237745654,1.56091746438957
3961,2020,2020,1.3788349368822,1.3788349368822,2.7395,2.7395,269.959655,1.13375,1.01467007458333,0.103795814893227,15.66431875,14.5304534375,23265.5528347227,NA,0.726337066748499,265.839366429951,8,"Summer",0.599879451939704,0.412156470969821,0.88391084003043,0.82713474625221,0.568295741635264,1.21876714732285
3962,2020,2020,1.449194111325,1.449194111325,0.87686,0.87686,270.836515,1.1273,1.45778215958333,0.106122499429205,17.4513791666667,15.1067669791667,29256.0311220548,NA,0.726337066748499,265.839366429951,8,"Summer",0.564130558103186,0.380825150817957,0.840656306689591,0.817534682821623,0.551889566009838,1.21827416930278
3963,2020,2020,1.8909792229284,1.8909792229284,0,0,270.836515,0.9996875,1.22421996895833,0.102480256935507,15.8365535416667,14.65211125,18283.5491274712,NA,0.726337066748499,265.839366429951,8,"Summer",0.801875754176076,0.596850238202669,1.12620033984594,1.516330390517,1.12863139964111,2.12962144350358
3964,2020,2020,1.767289255497,1.767289255497,0,0,270.836515,0.872075,1.218717414375,0.0976203977920549,15.8525422916667,15.1518463541667,27549.7628160964,NA,0.726337066748499,265.839366429951,8,"Summer",0.819417457200367,0.582272466973828,1.16148301455339,1.44814766787688,1.02904387465458,2.05267645206248
3965,2020,2020,1.50048357144552,1.50048357144552,0,0,270.836515,0.7444625,1.27657591395833,0.0916142166348622,15.7453079166667,15.3873938541667,23063.5917966192,NA,0.726337066748499,265.839366429951,8,"Summer",0.848880361664673,0.588980996141521,1.2288669956869,1.27373103680057,0.883756308603969,1.8438947385198
3966,2020,2020,1.4159803908978,1.4159803908978,0,0,270.836515,0.61685,1.35166804708333,0.0880231803343447,16.477979375,15.6122566666667,23846.4744370613,NA,0.726337066748499,265.839366429951,8,"Summer",0.840228167299466,0.560768774578929,1.23121824372215,1.18974660877604,0.794037588631551,1.74338089002619
