"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
472,2018,2018,0.3312662290092,0.3312662290092,0,0,11.66641,0.81655,0.446982095833333,0.084230784028378,0.259784812500001,-0.569762462638889,12072.37211047,NA,1.67896594869112,612.822571272259,1,"Winter",4.06984850652908,1.00989173533619,17.5636093334918,1.34820336739661,0.334543026872376,5.81823063169663
473,2018,2018,0,0,0,0,11.66641,0.799125,0.13067536875,0.0810562509018631,-4.31596116666667,-1.18844944069444,14596.14569295,NA,1.67896594869112,612.822571272259,1,"Winter",4.03727978284553,0.982361282351933,17.6040686649809,0,0,0
474,2018,2018,0,0,0,0,11.66641,0.7817,0.307382254166667,0.0774573810511791,-2.71064910416667,-1.95797492708333,15813.01670234,NA,1.67896594869112,612.822571272259,1,"Winter",4.00392498760949,0.965207967067369,17.6644384023675,0,0,0
475,2018,2018,0.21482651771928,0.21482651771928,0.36942,0.36942,12.03583,0.7815375,0.5523390625,0.0775033369810839,2.002629625,-1.64275080277778,16401.0628695,NA,1.67896594869112,612.822571272259,1,"Winter",3.97246516932105,0.95708715949085,17.6919451918052,0.85339085908637,0.205607701627256,3.80069897723587
476,2018,2018,0.170106424083,0.170106424083,0,0,12.03583,0.781375,0.66251939375,0.0795673115583178,4.10172760416667,-0.87437928675,15282.15490016,NA,1.67896594869112,612.822571272259,1,"Winter",3.943657233076,0.959506561935153,17.7227908232968,0.670841429727617,0.163218230134963,3.01476057172202
477,2018,2018,0.30302612411418,0.30302612411418,3.42661,3.42661,15.46244,0.7812125,0.430554064583333,0.0814971300379953,1.35033052083333,-0.56805948856875,14869.95252759,NA,1.67896594869112,612.822571272259,1,"Winter",3.91605999125379,0.966373061251997,17.7155282330264,1.18666848094824,0.292836283199548,5.36826785708931
478,2018,2018,0,0,6.27929,6.27929,21.74173,0.78105,0.0313779083333333,0.0840542374606075,-12.4295453541667,-0.331076340166667,6676.41684397,NA,1.67896594869112,612.822571272259,1,"Winter",3.88545903674845,0.929397810134817,17.7777262774935,0,0,0
479,2018,2018,0,0,1.24703,1.24703,22.98876,0.7808875,0.206428689583333,0.0832929619082709,-7.67691333333334,-0.425268385416667,17314.01668264,NA,1.67896594869112,612.822571272259,1,"Winter",3.85562623326155,0.911271038967137,17.743398486905,0,0,0
480,2018,2018,0,0,0,0,22.98876,0.780725,0.324695710416667,0.0819697663727099,-3.38504458333333,-0.620402013888889,17220.87990413,NA,1.67896594869112,612.822571272259,1,"Winter",3.82807481484814,0.891263715465694,17.7269260855826,0,0,0
481,2018,2018,0.3514742668791,0.3514742668791,0.55564,0.55564,23.5444,0.7805625,0.478640439583333,0.0810948467717021,0.188961458333333,-0.728173440277778,17646.177850703,NA,1.67896594869112,612.822571272259,1,"Winter",3.8016664378941,0.903618920524508,17.7965208015212,1.33618792417771,0.317598797629435,6.25501910171332
